array_element_name	array_element_type	organism	is_control	locus	description	chromosome	start	stop
244927_at	oligonucleotide	Arabidopsis thaliana	no	AT2G07663;ATMG00530;AT2G07776	[AT2G07663, Pseudogene of AT2G07776];[ATMG00530, hypothetical protein];[AT2G07776, unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:ATMG00530.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).]	[AT2G07663, 2];[ATMG00530, M];[AT2G07776, 2]	[AT2G07663, 3403735];[ATMG00530, 147300];[AT2G07776, 3246055]	[AT2G07663, 3404033];[ATMG00530, 147598];[AT2G07776, 3246353]
244928_s_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00570;AT2G07716	[ATMG00570, Sec-independent periplasmic protein translocase];[AT2G07716, pseudogene, similar to orfx, blastp match of 85% identity and 5.5e-116 P-value to GP|287897|emb|CAA42649.1||X60046 orfx {Oenothera berteriana}]	[ATMG00570, M];[AT2G07716, 2]	[ATMG00570, 157791];[AT2G07716, 3414326]	[ATMG00570, 158240];[AT2G07716, 3414775]
244929_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00580	NADH dehydrogenase subunit 4	M	164130,164139,167221,167642	169585,169585,169674,169674
244930_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00600;AT2G07809	[ATMG00600, hypothetical protein];[AT2G07809, Pseudogene of ATMG00600]	[ATMG00600, M];[AT2G07809, 2]	[ATMG00600, 174231];[AT2G07809, 3430698]	[ATMG00600, 174515];[AT2G07809, 3430982]
244931_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00630	hypothetical protein	M	183135	183429
244932_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01060	iron-sulfur cluster binding;electron carriers;4 iron, 4 sulfur cluster binding	C	117320	117541
244933_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01070	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	C	117815	118098
244934_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01080	NADH:ubiquinone/plastoquinone oxidoreductase, chain 6	C	118383	118905
244935_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01090	NADPH dehydrogenases	C	119318	119762
244936_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01100	NADH dehydrogenase family protein	C	119863,120376	121457,121519
244937_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01110	NAD(P)H dehydrogenase subunit H	C	122035	122544
244938_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01120	chloroplast ribosomal protein S15	C	123362	123523
244939_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00065	ribosomal protein S12A	C	69611	69724
244940_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01230;ATCG00905	[ATCG01230, ribosomal protein S12B];[ATCG00905, ribosomal protein S12C]	[ATCG01230, C];[ATCG00905, C]	[ATCG01230, 139877];[ATCG00905, 97999,97999,98024]	[ATCG01230, 140087];[ATCG00905, 98024,98562,98746]
244941_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00010	hypothetical protein	M	303	718
244942_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00050	hypothetical protein	M	16903	17229
244943_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00070	NADH dehydrogenase subunit 9	M	23682	24131
244944_s_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00080;ATMG00090	[ATMG00080, ribosomal protein L16];[ATMG00090, structural constituent of ribosome;protein binding]	[ATMG00080, M];[ATMG00090, M]	[ATMG00080, 25486];[ATMG00090, 25486]	[ATMG00080, 25602];[ATMG00090, 25602]
244945_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00110	cytochrome C biogenesis 206	M	30510	31063
244947_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00130	hypothetical protein	M	34250	34544
244948_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00140	hypothetical protein	M	34605	35092
244949_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00150	hypothetical protein	M	35784	36083
244950_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00160	cytochrome oxidase 2	M	40517,40585	41930,42375
244951_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G07723;ATMG00180	[AT2G07723, pseudogene, similar to orf454~homology with two ORFs from Marchantia polymorpha mtDNA (orf169 and orf322), high similarity to 3'-terminal part of ccl1 of Rhodobacter, blastp match of 76% identity and 3.4e-193 P-value to GP|459537|emb|CAA54966.1||X78036 orf454~homology with two ORFs from Marchantia polymorpha mtDNA (orf169 and orf322), high similarity to 3'-terminal part of ccl1 of Rhodobacter {Oenothera berteriana}];[ATMG00180, cytochrome C biogenesis 452]	[AT2G07723, 2];[ATMG00180, M]	[AT2G07723, 3441979];[ATMG00180, 51351]	[AT2G07723, 3442488];[ATMG00180, 51860]
244952_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00260;AT2G07799	[ATMG00260, hypothetical protein];[AT2G07799, Pseudogene of ATMG00260]	[ATMG00260, M];[AT2G07799, 2]	[ATMG00260, 76158];[AT2G07799, 3466782]	[ATMG00260, 76425];[AT2G07799, 3467049]
244953_s_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00270;AT2G07731	[ATMG00270, NADH dehydrogenase 6];[AT2G07731, pseudogene, similar to NADH-ubiquinone oxidoreductase chain 6 (EC 1.6.5.3). (Field mustard), blastp match of 96% identity and 3.7e-99 P-value to SP|Q01825|NU6M_ARATH NADH-ubiquinone oxidoreductase chain 6 (EC 1.6.5.3). (Field mustard) {Brassica campestris}]	[ATMG00270, M];[AT2G07731, 2]	[ATMG00270, 76653];[AT2G07731, 3467277]	[ATMG00270, 77156];[AT2G07731, 3467780]
244954_s_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00280;AT2G07732	[ATMG00280, Ribulose bisphosphate carboxylase large chain, catalytic domain];[AT2G07732, Ribulose bisphosphate carboxylase large chain, catalytic domain]	[ATMG00280, M];[AT2G07732, 2]	[ATMG00280, 77963];[AT2G07732, 3468586]	[ATMG00280, 78146];[AT2G07732, 3468769]
244955_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00320	hypothetical protein	M	91019	91375
244956_s_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00310;AT2G07737	[ATMG00310, RNA-directed DNA polymerase (reverse transcriptase)-related family protein];[AT2G07737, transposable element gene]	[ATMG00310, M];[AT2G07737, 2]	[ATMG00310, 90894];[AT2G07737, 3481473]	[ATMG00310, 91337];[AT2G07737, 3481916]
244957_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00400	hypothetical protein	M	110954	111388
244958_at	oligonucleotide	Arabidopsis thaliana	no	ATMG00450	hypothetical protein	M	119411	119697
244959_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G07708;ATMG00500;ATMG00490	[AT2G07708, unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:ATMG00500.1); Has 9 Blast hits to 9 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 9; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).];[ATMG00500, hypothetical protein];[ATMG00490, Mitovirus RNA-dependent RNA polymerase]	[AT2G07708, 2];[ATMG00500, M];[ATMG00490, M]	[AT2G07708, 3387351];[ATMG00500, 130968];[ATMG00490, 130968]	[AT2G07708, 3387522];[ATMG00500, 131139];[ATMG00490, 131139]
244960_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01020	ribosomal protein L32	C	113457	113580
244961_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01040	Cytochrome C assembly protein	C	114857	115401
244962_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01050	NADH-Ubiquinone/plastoquinone (complex I) protein	C	115682	116257
244963_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00570	photosystem II reaction center protein F	C	63942	64049
244964_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00580	photosystem II reaction center protein E	C	64088	64307
244965_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00590	electron carriers	C	65712	65804
244966_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00600	PETG	C	66012	66111
244967_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00630	PSAJ	C	66935	67058
244968_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00640	ribosomal protein L33	C	67512	67677
244969_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00650	ribosomal protein S18	C	67926	68215
244970_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00660	ribosomal protein L20	C	68557	68853
244971_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00670	plastid-encoded CLP P	C	69930,70137,70653	70944,71812,71861
244972_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00680	photosystem II reaction center protein B	C	73336	73801
244973_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00690	photosystem II reaction center protein T	C	74085	74134
244974_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00700	photosystem II reaction center protein N	C	74251	74380
244975_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00710	photosystem II reaction center protein H	C	74485	74694
244976_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00720	photosynthetic electron transfer B	C	75713	76244
244977_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00730	photosynthetic electron transfer D	C	77265	77628
244978_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00740	RNA polymerase subunit alpha	C	77987	78489
244979_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00750	ribosomal protein S11	C	78978	79298
244980_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00760	ribosomal protein L36	C	79494	79571
244981_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00770	ribosomal protein S8	C	80078	80470
244982_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00780	ribosomal protein L14	C	80701	81059
244983_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00790	ribosomal protein L16	C	81254	81543
244984_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00800	structural constituent of ribosome	C	82879	83316
244985_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00810	ribosomal protein L22	C	83473	83899
244986_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00820	ribosomal protein S19	C	84005	84262
244987_s_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01310;ATCG00830	[ATCG01310, ribosomal protein L2];[ATCG00830, ribosomal protein L2]	[ATCG01310, C];[ATCG00830, C]	[ATCG01310, 153061,153195];[ATCG00830, 84338,84771]	[ATCG01310, 153878,154311];[ATCG00830, 85454,85588]
244988_s_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00840;ATCG01300	[ATCG00840, ribosomal protein L23.1];[ATCG01300, ribosomal protein L23]	[ATCG00840, C];[ATCG01300, C]	[ATCG00840, 85876];[ATCG01300, 152567]	[ATCG00840, 86082];[ATCG01300, 152773]
244989_s_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00860;ATCG01280	[ATCG00860, Chloroplast Ycf2;ATPase, AAA type, core];[ATCG01280, Chloroplast Ycf2;ATPase, AAA type, core]	[ATCG00860, C];[ATCG01280, C]	[ATCG00860, 92762];[ATCG01280, 145412]	[ATCG00860, 93237];[ATCG01280, 145887]
244990_s_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00870;ATCG01270	[ATCG00870, Protein precursor Ycf15, putative, chloroplast];[ATCG01270, Protein precursor Ycf15, putative, chloroplast]	[ATCG00870, C];[ATCG01270, C]	[ATCG00870, 93496];[ATCG01270, 144930]	[ATCG00870, 93719];[ATCG01270, 145153]
244991_s_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01250;ATCG00890	[ATCG01250, NADH-Ubiquinone/plastoquinone (complex I) protein];[ATCG00890, NADH-Ubiquinone/plastoquinone (complex I) protein]	[ATCG01250, C];[ATCG00890, C]	[ATCG01250, 143137];[ATCG00890, 94941]	[ATCG01250, 143708];[ATCG00890, 95512]
244992_s_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00900;ATCG01240	[ATCG00900, Ribosomal protein S7p/S5e family protein];[ATCG01240, ribosomal protein S7]	[ATCG00900, C];[ATCG01240, C]	[ATCG00900, 97478];[ATCG01240, 140704]	[ATCG00900, 97945];[ATCG01240, 141171]
244993_s_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01000;ATCG01130	[ATCG01000, Ycf1 protein];[ATCG01130, Ycf1 protein]	[ATCG01000, C];[ATCG01130, C]	[ATCG01000, 109930];[ATCG01130, 128305]	[ATCG01000, 110344];[ATCG01130, 128719]
244994_at	oligonucleotide	Arabidopsis thaliana	no	ATCG01010	NADH-Ubiquinone oxidoreductase (complex I), chain 5 protein	C	110447	110950
244995_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00150	ATPase, F0 complex, subunit A protein	C	14228	14546
244996_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00160	ribosomal protein S2	C	15376	15612
244997_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00170	DNA-directed RNA polymerase family protein	C	16069	16463
244998_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00180	DNA-directed RNA polymerase family protein	C	20423	20808
244999_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00190	RNA polymerase subunit beta	C	23166	23686
245000_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00210	electron transporter, transferring electrons within cytochrome b6/f complex of photosystem IIs	C	28091	28176
245001_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00220	photosystem II reaction center protein M	C	28731	28803
245002_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00270	photosystem II reaction center protein D	C	33173	33721
245003_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00280	photosystem II reaction center protein C	C	34547	35058
245004_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00300	YCF9	C	35751	35939
245005_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00330	chloroplast ribosomal protein S14	C	36959	37185
245006_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00340	Photosystem I, PsaA/PsaB protein	C	37381	37918
245007_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00350	Photosystem I, PsaA/PsaB protein	C	39631	40196
245008_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00360	Tetratricopeptide repeat (TPR)-like superfamily protein	C	42586,42736	43524,43697
245009_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00380	chloroplast ribosomal protein S4	C	45317	45736
245010_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00420	NADH dehydrogenase subunit J	C	48704	49130
245011_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00430	photosystem II reaction center protein G	C	49267	49855
245012_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00440	NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 protein	C	50045	50342
245013_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00470	ATP synthase epsilon chain	C	52272	52653
245014_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00480	ATP synthase subunit beta	C	52689	53204
245015_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00490	ribulose-bisphosphate carboxylases	C	56053	56375
245016_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00500	acetyl-CoA carboxylase carboxyl transferase subunit beta	C	57955	58519
245017_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00510	photsystem I subunit I	C	59248	59338
245018_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00520	unfolded protein binding	C	59838	60311
245019_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00530	CemA-like proton extrusion protein-related	C	60930	61403
245020_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00540	photosynthetic electron transfer A	C	62062	62552
245021_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00550	photosystem II reaction center protein J	C	63538	63660
245022_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00560	photosystem II reaction center protein L	C	63805	63920
245023_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00080	photosystem II reaction center protein I	C	7583	7691
245024_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00120	ATP synthase subunit alpha	C	9950	10526
245025_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00130	ATPase, F0 complex, subunit B/B', bacterial/chloroplast	C	11654,11938	12654,12783
245026_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00140	ATP synthase subunit C family protein	C	13271	13484
245027_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26550	heme oxygenase 2	2	11291590,11291676,11291761,11291868,11292265,11292347	11292436,11292517,11292651,11292874,11292952,11293061
245028_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26570	Plant protein of unknown function (DUF827)	2	11301530	11302006
245029_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26580	plant-specific transcription factor YABBY family protein	2	11304735,11304781,11304873	11304981,11305630,11305647
245030_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26620	Pectin lyase-like superfamily protein	2	11325213,11325390	11325486,11325771
245031_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26360	Mitochondrial substrate carrier family protein	2	11221623,11221926	11222001,11222126
245032_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26630	transposable element gene	2	11328167	11328689
245033_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26380	Leucine-rich repeat (LRR) family protein	2	11226619	11227199
245034_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26390	Serine protease inhibitor (SERPIN) family protein	2	11229169	11229663
245035_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26400	acireductone dioxygenase 3	2	11232064,11232121,11232240,11232310,11232415,11232539,11232627	11232741,11232883,11232977,11233057,11233168,11233257,11233271
245036_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26410	IQ-domain 4	2	11234733	11235236
245037_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26420	1-phosphatidylinositol-4-phosphate 5-kinase 3	2	11239530,11239746,11240101	11240134,11240223,11240467
245038_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26560	phospholipase A 2A	2	11293925,11293990,11294087,11294259	11294340,11294642,11294871,11294884
245039_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26600	Glycosyl hydrolase superfamily protein	2	11317532,11318038	11318156,11318215
245040_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26520	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G57500.1); Has 51 Blast hits to 51 proteins in 11 species: Archae - 0; Bacteria - 1; Metazoa - 0; Fungi - 0; Plants - 50; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	2	11280322	11280687
245041_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26530	Protein of unknown function (DUF1645)	2	11283135	11283629
245042_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26540	uroporphyrinogen-III synthase family protein	2	11287675,11287735,11287867,11288001,11288119,11288204,11288372	11288427,11288719,11288814,11289195,11289313,11289577,11289587
245043_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26430	arginine-rich cyclin 1	2	11243433,11243864	11244128,11244246
245044_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26500	cytochrome b6f complex subunit (petM), putative	2	11270379	11270710
245045_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26590	regulatory particle non-ATPase 13	2	11311205,11311264,11311337,11311391,11311462,11311539,11311833,11311927	11312133,11312156,11312244,11312365,11312803,11312881,11313722,11313759
245046_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26510	Xanthine/uracil permease family protein	2	11276479,11276507,11276603,11276694,11276789	11276866,11276958,11277118,11277243,11277464
245047_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00020	photosystem II reaction center protein A	C	399	948
245048_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00040	maturase K	C	2151	2649
245049_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00050	ribosomal protein S16	C	5089,5283	6149,6167
245050_at	oligonucleotide	Arabidopsis thaliana	no	ATCG00070	photosystem II reaction center protein K precursor	C	7035	7201
245051_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23320	WRKY DNA-binding protein 15	2	9925366,9925650,9925752	9925877,9925980,9926144
245052_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26440	Plant invertase/pectin methylesterase inhibitor superfamily	2	11248820	11249397
245053_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26450	Plant invertase/pectin methylesterase inhibitor superfamily	2	11252850	11253433
245054_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26460	RED family protein	2	11255062,11255330	11255419,11255710
245055_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26470	unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF159 (InterPro:IPR003738); Has 3646 Blast hits to 3636 proteins in 1001 species: Archae - 41; Bacteria - 1922; Metazoa - 142; Fungi - 125; Plants - 44; Viruses - 14; Other Eukaryotes - 1358 (source: NCBI BLink).	2	11259331	11259821
245056_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26480	UDP-glucosyl transferase 76D1	2	11265010	11265530
245057_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26490	Transducin/WD40 repeat-like superfamily protein	2	11268917	11269430
245058_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39790	Mitochondrial glycoprotein family protein	2	16594969,16595078,16595234	16595553,16595644,16595707
245059_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39720	RING-H2 finger C2A	2	16567543	16568073
245060_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39770	Glucose-1-phosphate adenylyltransferase family protein	2	16590180	16590607
245061_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39730	rubisco activase	2	16571007,16571066,16571191	16571472,16571554,16571750
245062_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39760	BTB/POZ/MATH-domains containing protein	2	16584338,16584435,16584522	16584798,16585772,16585829
245063_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39795	Mitochondrial glycoprotein family protein	2	16597202,16597277,16597425	16597765,16597869,16597967
245064_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39725	LYR family of Fe/S cluster biogenesis protein	2	16570073	16570330
